Zielgruppe;Problembeschreibung;Lösungsansatz;USP (Alleinstellungsmerkmal);Wettbewerber;Marktpotenzial (1-10);Dringlichkeit (1-10);Machbarkeit (1-10);Wettbewerbsintensität (1-10);Gesamtscore;Opportunity Score;Priorität;Basiert auf Problem #;Entwicklungsaufwand;Technologie-Stack;Regulatorische Anforderungen;Monetarisierung;Status;Verantwortlich;Erstellt am;Bemerkungen;Domain
"Marketing Manager, Agenturen, Inhouse-Teams";"Kampagnen laufen verteilt über viele Tools ohne End-to-End-Transparenz.";"Zentrale Kampagnenverwaltung mit 3-Schritt-Erstellung, Performance-Tab und Creative-Workflow.";"Kampagnenplanung + operative Ausführung + kanalbezogene KPIs in einer Oberfläche.";"HubSpot Marketing Hub, Asana, monday.com, ClickUp";10;10;8;9;19;84;"P1";"P-01";"M";"Next.js, React, Supabase, Recharts";"DSGVO, Auftragsverarbeitung, Datenminimierung";"SaaS Pro-Plan pro Workspace + Nutzerstaffel";"Implementiert";"Product + Marketing Lead";"2026-03-20";"Core-Werttreiber der App.";"Campaign Management"
"Performance Marketer, Content Strategen";"Personas sind unvollständig oder nicht mit Kampagnen und Content verknüpft.";"Zielgruppenmodul mit Persona-Karten, Filtern, Details und Kampagnenlink.";"Direkte Verknüpfung von Persona-Insights mit Kampagnenbriefing und Journeys.";"HubSpot, Salesforce Marketing Cloud, Segment";9;8;8;8;17;78;"P1";"P-02";"M";"React, Supabase CRUD, Context API";"DSGVO (Profiling/Einwilligung je Datenquelle)";"Add-on: Audience Intelligence";"Implementiert";"Marketing Ops";"2026-03-20";"Wichtig für Conversion-Qualität.";"Audience Intelligence"
"Marketing Manager, Funnel-Verantwortliche";"Touchpoints pro Funnelphase sind nicht sauber orchestriert.";"Customer-Journey-Seite mit 5 Phasen und Verknüpfungen zu Touchpoints/Content.";"Journey-Planung direkt am operativen Setup statt isolierter Whiteboard-Übung.";"Salesforce Journey Builder, Adobe Marketo";8;7;7;7;15;71;"P2";"P-03";"M";"Next.js Views, Reusable Components";"DSGVO, Consent-abhängige Aktivierung";"Teil des Core-Plans";"Implementiert";"Campaign Lead";"2026-03-20";"Stärkt strategische Konsistenz.";"Customer Journey"
"CMO, Strategie-Teams, Berater";"Klassische Funnel-Modelle werden nicht operationalisiert.";"ASIDAS-Funnel als strategische Referenzseite im operativen Marketing-Flow.";"ASIDAS direkt mit App-Daten und Teamsprache verbunden.";"Miro, Notion, Beratungsslides";6;5;9;3;17;68;"P3";"P-04";"S";"React, statische/halb-dynamische Views";"Keine besonderen über DSGVO hinaus";"Differenzierungsfeature im Pitch";"Implementiert";"Strategy Owner";"2026-03-20";"Hoher Enablement-Wert, geringes Delivery-Risiko.";"Framework & Methodik"
"Paid/Owned/CRM-Verantwortliche";"Kanäle, Links und KPIs sind verteilt und inkonsistent.";"Touchpoint-Zentrale als Single-Source-of-Truth mit Verknüpfung zu Kampagnen/Content.";"Bidirektionale Analyse zwischen Kanal, Kampagne und Content.";"HubSpot, Sprinklr, Hootsuite";9;9;8;8;18;80;"P1";"P-05";"M";"Supabase, React Modals, KPI Components";"DSGVO, UTM/Tracking-Transparenz";"Core + Analytics Add-on";"Implementiert";"Channel Manager";"2026-03-20";"Schneller Hebel für Steuerbarkeit.";"Omnichannel Touchpoints"
"Content Teams, Social Teams";"Redaktionsplanung ist schwer abstimmbar und statusseitig intransparent.";"Content-Kalender mit Status-Workflow, Kampagnenbezug und Aufgabenhüllen.";"Kalender + Aufgabenverknüpfung reduziert Übergabeverluste im Team.";"Asana, Trello, Airtable, CoSchedule";9;9;8;9;17;79;"P1";"P-06";"M";"React Calendar Views, ContentContext, Supabase";"DSGVO bei personenbezogenen Inhaltsdaten";"SaaS Core mit Nutzerstaffel";"Implementiert";"Content Lead";"2026-03-20";"Produktivitäts- und Time-to-Publish-Treiber.";"Content Operations"
"Head of Marketing, Team Leads";"Es fehlt ein verdichteter Überblick über Content-Portfolio und Lücken.";"Content-Übersicht mit aggregierten Status- und Qualitätssignalen.";"Operative Kalenderdaten werden managementtauglich zusammengefasst.";"Airtable, Notion, Monday Dashboards";8;7;8;7;16;73;"P2";"P-07";"S-M";"React Dashboards, Recharts";"DSGVO, Zugriff nach Rollen";"Reporting Add-on";"Implementiert";"Team Lead";"2026-03-20";"Gut für Weekly/Monthly Reviews.";"Portfolio Reporting"
"Marketing-Teams, Agenturen";"Aufgaben-Tracking und Freigaben sind fragmentiert; KI-Unterstützung fehlt.";"Kanban+Liste, Zuweisung, Deadlines, Detailmodale und Task-AI-Agent.";"Task-Execution mit Marketing-Kontext statt generischer PM-Ansatz.";"Asana, ClickUp, Jira Work Management";9;9;9;9;18;82;"P1";"P-08";"M";"TaskContext, React DnD/Kanban, Supabase";"DSGVO, rollenbasierte Sichtbarkeit";"Seat-basiertes Pricing + AI-Nutzungsstufe";"Implementiert";"Operations Lead";"2026-03-20";"KI-Funktion kann Churn senken.";"Work Management"
"CMO, Finance, Marketing Ops";"Budgetplanung und Ist-Abgleich erfolgen oft außerhalb des Kampagnenkontexts.";"Budgetmodul mit Plan/Ist, Kategorien, CSV-Export und Rollensteuerung.";"Finanzsicht direkt an Kampagnen-Execution gekoppelt.";"HubSpot (teilweise), Planful, Excel";8;9;7;7;17;76;"P1";"P-09";"M";"Recharts, Supabase, RBAC";"Finanzdaten: DSGVO, interne Zugriffskontrolle";"Pro/Enterprise-Funktion";"Implementiert";"Finance + Marketing Ops";"2026-03-20";"Hoher Entscheidungsnutzen fürs Management.";"Budget & Controlling"
"Geschäftsführung, Marketing Leads";"KPIs sind nicht in Echtzeit und kanalübergreifend konsolidiert.";"Dashboard mit KPI-Karten, Trends, Kanalperformance und Aktivitätsfeed.";"Rollenabhängige Sicht auf einheitliche Metriken.";"Looker Studio, HubSpot Dashboards, Tableau";9;8;8;8;17;78;"P1";"P-10";"M";"Recharts, DashboardComponents, Supabase";"DSGVO, Datenaufbewahrung/Transparenz";"Analytics Add-on / höhere Pläne";"Implementiert";"Data/BI Owner";"2026-03-20";"Grundlage für Steering und Reporting.";"Analytics & BI"
"Geschäftsführung, Brand/Comms Teams";"Markenkern, Tonalität und Keywords sind nicht zentral dokumentiert.";"Digitale Positionierung mit editierbaren Blöcken (DNA, Identität, Kommunikation, Markt).";"Strategieartefakte direkt in tägliche Arbeitsumgebung integriert.";"Notion, Confluence, interne Wikis";7;8;9;5;19;77;"P2";"P-11";"S-M";"React Forms, RBAC, Supabase";"DSGVO gering, primär Unternehmensdaten";"Core Differenzierung";"Implementiert";"Brand Lead";"2026-03-20";"Verbessert Output-Konsistenz im Team.";"Brand Governance"
"Admins, Team Leads";"Unklare Rechte führen zu Sicherheits- und Prozessproblemen.";"RBAC mit Admin/Manager/Member, navigations- und funktionsbezogene Berechtigungen.";"Feingranulare Rechte entlang realer Marketingprozesse.";"Asana, ClickUp, Jira, Monday";8;9;8;8;17;77;"P1";"P-12";"M";"AuthContext, Supabase RLS, Next.js";"DSGVO, Zugriffskontrolle, Auditierbarkeit";"Enterprise-Argument / Security-Paket";"Implementiert";"Admin Owner";"2026-03-20";"Pflicht für Skalierung in Teams.";"Security & Governance"
"Neue Teammitglieder, Agenturpartner";"Onboarding dauert zu lange und Prozesse werden inkonsistent ausgeführt.";"In-App-Handbuch mit Rollen- und Workflow-bezogenen Leitfäden.";"Dokumentation direkt im Kontext der Arbeit statt separatem Wiki.";"Confluence, Notion, Loom-Playbooks";6;7;9;4;18;72;"P3";"P-13";"S";"React Views, ManualComponents";"Keine besonderen über DSGVO hinaus";"Retention/Onboarding-Wert";"Implementiert";"Enablement Owner";"2026-03-20";"Senkt Time-to-Productivity.";"Enablement"
"IT, Compliance, Produktteam";"Viele MarTech-Lösungen sind US-zentriert oder schwer DSGVO-konform betreibbar.";"EU-nahe Architektur mit Supabase (EU-Region), RLS, klarer Datenstruktur und zentraler API.";"Datenschutznahe Plattform-Basis für Marketing-Workflows.";"US-First Suites (HubSpot, Salesforce) + generische PM-Tools";8;8;7;6;17;75;"P1";"P-14";"M-L";"Next.js, TypeScript, Supabase PostgreSQL, RLS";"DSGVO, TOMs, AVV, Rollen- und Zugriffskonzepte";"Enterprise-Verträge + Compliance-Premium";"Implementiert";"CTO/Tech Lead";"2026-03-20";"Wichtig für DACH-Mittelstand und regulierte Kunden.";"Platform Foundation"
